"id";"name";"link";"created_at";"updated_at"
1;"1140";"https://cdnjs.cloudflare.com/ajax/libs/1140/2.0/1140.min.css";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
2;"1000hz-bootstrap-validator";"https://cdnjs.cloudflare.com/ajax/libs/1000hz-bootstrap-validator/0.11.9/validator.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
3;"10up-sanitize.css";"https://cdnjs.cloudflare.com/ajax/libs/10up-sanitize.css/8.0.0/sanitize.min.css";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
4;"16pixels";"https://cdnjs.cloudflare.com/ajax/libs/16pixels/0.1.9/16pixels.min.css";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
5;"3Dmol";"https://cdnjs.cloudflare.com/ajax/libs/3Dmol/1.3.7/3Dmol-min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
6;"6pac-slickgrid";"https://cdnjs.cloudflare.com/ajax/libs/6pac-slickgrid/2.4.2/slick.core.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
7;"6px";"https://cdnjs.cloudflare.com/ajax/libs/6px/1.0.3/6px.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
8;"6to5";"https://cdnjs.cloudflare.com/ajax/libs/6to5/3.6.5/browser.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
9;"960gs";"https://cdnjs.cloudflare.com/ajax/libs/960gs/0/960.min.css";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
10;"abcjs";"https://cdnjs.cloudflare.com/ajax/libs/abcjs/3.1.1/abcjs_basic-min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
11;"absurd";"https://cdnjs.cloudflare.com/ajax/libs/absurd/0.3.9/absurd.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
12;"academicons";"https://cdnjs.cloudflare.com/ajax/libs/academicons/1.8.6/css/academicons.min.css";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
13;"accounting.js";"https://cdnjs.cloudflare.com/ajax/libs/accounting.js/0.4.1/accounting.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
14;"ace";"https://cdnjs.cloudflare.com/ajax/libs/ace/1.4.2/ace.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
15;"acorn";"https://cdnjs.cloudflare.com/ajax/libs/acorn/6.0.7/acorn.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
16;"across-tabs";"https://cdnjs.cloudflare.com/ajax/libs/across-tabs/1.2.0/across-tabs.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
