"id";"library_id";"current_version";"description";"repository";"homepage";"created_at";"updated_at"
1;1;"2.0";"The 1140 grid fits perfectly into a 1280 monitor. On smaller monitors it becomes fluid and adapts to the width of the browser.";;"http://cssgrid.net/";"2019-02-07 15:13:05";"2019-02-07 15:13:05"
2;2;"0.11.9";"A user-friendly HTML5 Form validator for Bootstrap 3";"https://github.com/1000hz/bootstrap-validator";;"2019-02-07 15:13:05";"2019-02-07 15:13:05"
3;3;"8.0.0";"Render elements consistently. Style with best practices.";"git://github.com/jonathantneal/sanitize.css";"https://jonathantneal.github.io/sanitize.css/";"2019-02-07 15:13:06";"2019-02-07 15:13:06"
4;4;"0.1.9";"16pixels as a node packaged module";"https://github.com/englishextra/16pixels.git";"http://englishextra.github.io/libs/16pixels/";"2019-02-07 15:13:06";"2019-02-07 15:13:06"
5;5;"1.3.7";"Object oriented Javascript molecular visualization library";"https://github.com/3dmol/3Dmol.js.git";"http://3dmol.csb.pitt.edu";"2019-02-07 15:13:07";"2019-02-07 15:13:07"
6;6;"2.4.2";"A lightning fast JavaScript grid/spreadsheet";"git+https://github.com/6pac/SlickGrid.git";"https://wiki.github.com/6pac/SlickGrid";"2019-02-07 15:13:08";"2019-02-07 15:13:08"
7;7;"1.0.3";"Javascript client for 6px";"https://github.com/6px-io/6px-js.git";;"2019-02-07 15:13:08";"2019-02-07 15:13:08"
8;8;"3.6.5";"Turn ES6 code into readable vanilla ES5 with source maps";"https://github.com/babel/babel";"https://6to5.org/";"2019-02-07 15:13:09";"2019-02-07 15:13:09"
9;9;"0";"The 960 Grid System is an effort to streamline web development workflow by providing commonly used dimensions, based on a width of 960 pixels.";"https://github.com/nathansmith/960-Grid-System/";"http://960.gs";"2019-02-07 15:13:09";"2019-02-07 15:13:09"
10;10;"3.1.1";"javascript for rendering abc music notation";"git+https://github.com/paulrosen/abcjs.git";"https://abcjs.net";"2019-02-07 15:13:10";"2019-02-07 15:13:10"
11;11;"0.3.9";"JavaScript library with superpowers - http://absurdjs.com/";"https://github.com/krasimir/absurd.git";"http://absurdjs.com/";"2019-02-07 15:13:10";"2019-02-07 15:13:10"
12;12;"1.8.6";"Academicons is an icon font for academics. It aims to supplement other packages (such as Font Awesome) with icons for academic websites.";"git://github.com/jpswalsh/academicons.git";"https://jpswalsh.github.io/academicons/";"2019-02-07 15:13:11";"2019-02-07 15:13:11"
13;13;"0.4.1";"A lightweight JavaScript library for number, money and currency formatting .";"https://github.com/josscrowcroft/accounting.js";"http://josscrowcroft.github.io/accounting.js/";"2019-02-07 15:13:11";"2019-02-07 15:13:11"
14;14;"1.4.2";"Ace (Ajax.org Cloud9 Editor)";"https://github.com/ajaxorg/ace-builds/";"http://ace.ajax.org/";"2019-02-07 15:13:13";"2019-02-07 15:13:13"
15;15;"6.0.7";"ECMAScript parser";"https://github.com/ternjs/acorn.git";;"2019-02-07 15:13:14";"2019-02-07 15:13:14"
16;16;"1.2.0";"Easy communication between cross-origin browser tabs";"https://github.com/wingify/across-tabs.git";"http://engineering.wingify.com/across-tabs/introduction.html";"2019-02-07 15:13:14";"2019-02-07 15:13:14"
17;17;"0.15.4";"Creating a common API for WebRTC in the browser";"git@github.com:Temasys/AdapterJS.git";"https://temasys.github.io/";"2019-02-07 15:13:15";"2019-02-07 15:13:15"
18;18;"1.0.5";"Detect ad blocker presence in browser";"https://github.com/dbrekalo/adblockdetect";"https://dbrekalo.github.io/adblockdetect/";"2019-02-07 15:13:16";"2019-02-07 15:13:16"
19;19;"2.4.8";"Admin dashboard and control panel template";"git://github.com/almasaeed2010/AdminLTE.git";"http://almsaeedstudio.com";"2019-02-07 15:13:16";"2019-02-07 15:13:16"
20;20;"1.1.0";"SDK for Adobe Sign REST API";"git://github.com/adobe-sign/AdobeSignJsSdk.git";"https://www.adobe.io/apis/documentcloud/sign/docs/developer-guide/using-pure-javascript-sdk.html";"2019-02-07 15:13:17";"2019-02-07 15:13:17"
21;21;"1.3.3";"Aegis CSS Framework";"git://github.com/playlyfe/aegis.git";;"2019-02-07 15:13:17";"2019-02-07 15:13:17"
22;22;"3.1.2";"A pure JavaScript implementation of the AES block cipher and all common modes of operation.";"git://github.com/ricmoo/aes-js.git";;"2019-02-07 15:13:18";"2019-02-07 15:13:18"
23;23;"0.4.2";"Text component for A-Frame VR.";"git+https://github.com/ngokevin/aframe-text-component.git";"https://ngokevin.github.io/aframe-text-component/";"2019-02-07 15:13:18";"2019-02-07 15:13:18"
24;24;"0.7.1";"Building blocks for the VR Web";"https://github.com/aframevr/aframe.git";;"2019-02-07 15:13:19";"2019-02-07 15:13:19"
25;25;"19.1.4";"Advanced Framework Agnostic Javascript Datagrid.";"https://github.com/ceolter/ag-grid.git";"http://www.ag-grid.com/";"2019-02-07 15:13:21";"2019-02-07 15:13:21"
26;26;"0.1.3";"Javascript MVC for the ""write less, do more""";"https://github.com/arturadib/agility.git";"http://agilityjs.com";"2019-02-07 15:13:21";"2019-02-07 15:13:21"
27;27;"1.2.2";"un-suck JavaScript APIs in IE8 & 9";"https://github.com/shawnbot/aight.git";;"2019-02-07 15:13:22";"2019-02-07 15:13:22"
28;28;"2.2.3";"Lightweight customizable cross-browser jQuery datepicker, built with es5 and css-flexbox. Works in all modern desktop and mobile browsers (tested no Android 4.4+ and iOS8+)
 ![air datepicker image](https://github.com/t1m0n/air-datepicker/raw/master/docs/img/promo-img.png)";"git+https://github.com/t1m0n/air-datepicker.git";"http://t1m0n.name/air-datepicker/docs/";"2019-02-07 15:13:22";"2019-02-07 15:13:22"
29;29;"1.6.3";"Notify Airbrake on JavaScript exceptions";"https://github.com/airbrake/airbrake-js.git";"https://airbrake.io";"2019-02-07 15:13:23";"2019-02-07 15:13:23"
30;30;"0.4.1";"Asynchronous JavaScript And JavaScript/JSON(P) : Ajax without XML";"https://github.com/krampstudio/aja.js.git";"http://krampstudio.github.io/aja.js/";"2019-02-07 15:13:24";"2019-02-07 15:13:24"
31;31;"1.4.4";"Extends existing [Bootstrap Select] implementations by adding the ability to search via AJAX requests as you type. Originally for CROSCON.";"https://github.com/truckingsim/Ajax-Bootstrap-Select.git";;"2019-02-07 15:13:24";"2019-02-07 15:13:24"
32;32;"7.3.3";"Ajaxify your site out of the box, instantly";"https://github.com/arvgta/ajaxify.git";"http://4nf.org/";"2019-02-07 15:13:25";"2019-02-07 15:13:25"
33;33;"2.1.7";"ajile enables namespacing, dependency-management, and on-demand loading of cross-domain, local, and inline JavaScript within browsers.";"https://github.com/iskitz/ajile.git";"http://ajile.net/";"2019-02-07 15:13:25";"2019-02-07 15:13:25"
34;34;"6.8.1";"Another JSON Schema Validator";"https://github.com/epoberezkin/ajv.git";;"2019-02-07 15:13:26";"2019-02-07 15:13:26"
35;35;"0.4.11";"Versatile SQL database for browser or node. Handles relational data and nested JSON (noSQL). Export to and import from Excel, localStorage or IndexedDB";"https://github.com/agershun/alasql.git";;"2019-02-07 15:13:26";"2019-02-07 15:13:26"
36;36;"0.4.2";"Alchemy.js is a graph drawing application built in d3.";"https://github.com/graphalchemist/alchemy.git";"http://graphalchemist.github.io/Alchemy";"2019-02-07 15:13:27";"2019-02-07 15:13:27"
37;37;"0.5.0";"Alertify is an unobtrusive customizable JavaScript notification system.";"https://github.com/fabien-d/alertify.js";"https://fabien-d.github.io/alertify.js/";"2019-02-07 15:13:27";"2019-02-07 15:13:27"
38;38;"1.0.11";"An lightweight, unobtrusive customizable JavaScript notification system.";"git@github.com:alertifyjs/alertify.js.git";"https://alertifyjs.org/";"2019-02-07 15:13:28";"2019-02-07 15:13:28"
39;39;"1.11.2";"AlertifyJS is a javascript framework for developing pretty browser dialogs and notifications.";"git@github.com:MohammadYounes/AlertifyJS.git";"http://alertifyjs.com";"2019-02-07 15:13:28";"2019-02-07 15:13:28"
40;40;"7.4.6";"A multi select dropdown directive for AngularJS";"git@github.com:alexandernst/angular-multi-select.git";"http://alexandernst.github.io/angular-multi-select";"2019-02-07 15:13:29";"2019-02-07 15:13:29"
41;41;"0.2.6";"Build, display, and solve algebraic equations.";"https://github.com/nicolewhite/algebra.js.git";"http://algebra.js.org";"2019-02-07 15:13:29";"2019-02-07 15:13:29"
326;326;"6.1.19";"A compiler for writing next generation JavaScript";"git://github.com/babel/babel";"https://babeljs.io/";"2019-02-07 15:16:13";"2019-02-07 15:16:13"
42;42;"2.26.1";"Helper for implementing advanced search features with algolia";"https://github.com/algolia/algoliasearch-helper-js.git";;"2019-02-07 15:13:30";"2019-02-07 15:13:30"
43;43;"2.24.3";"Algolia Search for Zendesk's Help Center";"https://github.com/algolia/algoliasearch-zendesk.git";;"2019-02-07 15:13:31";"2019-02-07 15:13:31"
44;44;"3.32.0";"AlgoliaSearch API JavaScript client";"https://github.com/algolia/algoliasearch-client-js";;"2019-02-07 15:13:31";"2019-02-07 15:13:31"
45;45;"1.0.140706";"Simple to use autocomplete directive in a module for AngularJs!";"https://github.com/JustGoscha/allmighty-autocomplete.git";"http://www.justgoscha.com/allmighty-autocomplete/";"2019-02-07 15:13:32";"2019-02-07 15:13:32"
46;46;"2.0";"Allofthelights.js is a jQuery plugin to turn off the light and enjoy your videos, try it !";"git+https://github.com/Pierrinho/Allofthelights.js.git";"http://www.megaptery.com/allofthelights/";"2019-02-07 15:13:32";"2019-02-07 15:13:32"
47;47;"0.1.1";"Visual aid for your users in giving you browser's permission such as cam or mic";"https://github.com/steve-ng/allowMe.git";;"2019-02-07 15:13:33";"2019-02-07 15:13:33"
48;48;"1.0.1";"AlloyUI";"https://github.com/liferay/alloy-ui";;"2019-02-07 15:13:33";"2019-02-07 15:13:33"
49;49;"1.4.1";"JavaScript library to help web applications with accessibility concerns";"https://github.com/medialize/ally.js.git";"http://allyjs.io/";"2019-02-07 15:13:34";"2019-02-07 15:13:34"
50;50;"0.18.6";"A flux implementation";"https://github.com/goatslacker/alt.git";;"2019-02-07 15:13:34";"2019-02-07 15:13:34"
51;51;"1.2.1";"Alton is a jQuery-powered scrolling plugin, with a twist.";"https://github.com/paper-leaf/alton.git";;"2019-02-07 15:13:35";"2019-02-07 15:13:35"
52;52;"1.2.3";"Amaze UI components build with React.";"https://github.com/amazeui/amazeui-react";;"2019-02-07 15:13:35";"2019-02-07 15:13:35"
53;53;"2.7.2";"Sleek, intuitive, and powerful front-end framework for faster and easier web development.";"https://github.com/amazeui/amazeui.git";"http://amazeui.org";"2019-02-07 15:13:36";"2019-02-07 15:13:36"
54;54;"3.21.14";"JavaScript Charts V3";"https://github.com/amcharts/amcharts3.git";"https://www.amcharts.com/";"2019-02-07 15:13:37";"2019-02-07 15:13:37"
55;55;"0.28.0";"AMI Medical Imaging (AMI) JS ToolKit for THREEJS";"https://github.com/FNNDSC/ami";"https://fnndsc.github.io/ami";"2019-02-07 15:13:38";"2019-02-07 15:13:38"
56;56;"3.13.0";"JavaScript / HTML5 mapping library to create interactive, animated maps and display them in websites or web applications.";;"http://www.amcharts.com/";"2019-02-07 15:13:38";"2019-02-07 15:13:38"
57;57;"1.1.2";"AmplifyJS is a set of components for data management and application communication.";"https://github.com/mikehostetler/amplify";"http://amplifyjs.com/";"2019-02-07 15:13:39";"2019-02-07 15:13:39"
58;58;"4.0.0";"A JavaScript library that allows you to control the design of your media controls in your webpage -- not the browser. No dependencies (jQuery not required) https://521dimensions.com/open-source/amplitudejs";"https://github.com/521dimensions/amplitudejs.git";"https://521dimensions.com/open-source/amplitudejs";"2019-02-07 15:13:39";"2019-02-07 15:13:39"
59;59;"3.13.0";"amCharts is a robust charting tool that will suit any dataviz need.";;"http://www.amcharts.com/";"2019-02-07 15:13:40";"2019-02-07 15:13:40"
60;60;"2.9.1";"The hassle-free way to integrate analytics into any web application.";"https://github.com/segmentio/analytics.js.git";"https://segment.io/docs/libraries/analytics.js/";"2019-02-07 15:13:41";"2019-02-07 15:13:41"
61;61;"4.2.0";"A Javscript utility for adding deep anchor links to online docs.";"https://github.com/bryanbraun/anchorjs.git";"https://bryanbraun.github.io/anchorjs/";"2019-02-07 15:13:41";"2019-02-07 15:13:41"
62;62;"1.0.6";"This small but might really useful jQuery Plugin brings in an animation to all native section link and smoothly jumps at an element anywhere on your page.";"https://github.com/cbopp-art/anchor.git";"http://cornel.bopp-art.com/";"2019-02-07 15:13:42";"2019-02-07 15:13:42"
63;63;"1.1";"Automatically generate anchored headings and nested navigations based on header tags";"https://github.com/renettarenula/anchorific.js";"http://renaysha.me/anchorific-js/";"2019-02-07 15:13:42";"2019-02-07 15:13:42"
64;64;"1.0";"Androidicons is a professional, handcrafted icon set with 250 icons in 14 different colors and 5 sizes, including an icon font and all sources";"https://github.com/opoloo/androidicons.git";"http://www.androidicons.com/";"2019-02-07 15:13:43";"2019-02-07 15:13:43"
65;65;"3.0.0";"Awesome Autocompleteness for AngularJS";"https://github.com/ghiden/angucomplete-alt.git";;"2019-02-07 15:13:44";"2019-02-07 15:13:44"
66;66;"1.7.4";"Total awesomeness for playing sounds in AngularJS";"https://github.com/danielstern/ngAudio.git";"http://danielstern.github.io/ngAudio/";"2019-02-07 15:13:44";"2019-02-07 15:13:44"
67;67;"3.0.1";"Auth0.js wrapper for Angular.js";"git+https://github.com/auth0/angular-auth0.git";;"2019-02-07 15:13:45";"2019-02-07 15:13:45"
68;68;"2.2.5";"Automatically generate fields from a schema object and bind them to an object";"git://github.com/justmaier/angular-autoFields-bootstrap.git";;"2019-02-07 15:13:45";"2019-02-07 15:13:45"
69;69;"1.3.11";"Angular Azure Mobile Service";"https://github.com/TerryMooreII/angular-azure-mobile-service.git";;"2019-02-07 15:13:46";"2019-02-07 15:13:46"
70;70;"2.0.1";"bacon.js bindings for AngularJS";"git://github.com/lauripiispanen/angular-bacon.git";;"2019-02-07 15:13:46";"2019-02-07 15:13:46"
71;71;"2.0.5";"Base64 conversion for AngularJS";"https://github.com/ninjatronic/angular-base64.git";;"2019-02-07 15:13:47";"2019-02-07 15:13:47"
72;72;"0.3.3";"Zero watchers binding directives for AngularJS";"https://github.com/Pasvaz/bindonce.git";;"2019-02-07 15:13:47";"2019-02-07 15:13:47"
73;73;"0.2.2";"An AngularJS module that allows you to block user interaction on AJAX requests.";"https://github.com/McNull/angular-block-ui";;"2019-02-07 15:13:48";"2019-02-07 15:13:48"
74;74;"3.0.32";"Native AngularJS colorpicker directive";"https://github.com/buberdds/angular-bootstrap-colorpicker";;"2019-02-07 15:13:48";"2019-02-07 15:13:48"
75;75;"1.1.4";"This directive allows you to add a datetime-picker to your form elements.";"git+https://github.com/dalelotts/angular-bootstrap-datetimepicker.git";"http://dalelotts.github.io/angular-bootstrap-datetimepicker";"2019-02-07 15:13:49";"2019-02-07 15:13:49"
76;76;"0.12.0";"An AngularJS lightbox built using UI Bootstrap Modal.";"git://github.com/compact/angular-bootstrap-lightbox.git";"http://compact.github.io/angular-bootstrap-lightbox/";"2019-02-07 15:13:49";"2019-02-07 15:13:49"
77;77;"0.1.28";"An angular directive for seiyria-bootstrap-slider";"git+https://github.com/seiyria/angular-bootstrap-slider.git";;"2019-02-07 15:13:50";"2019-02-07 15:13:50"
78;78;"0.5.2";"AngularJS directive for the bootstrap-switch jQuery plugin.";"git+ssh://git@github.com/frapontillo/angular-bootstrap-switch.git";;"2019-02-07 15:13:50";"2019-02-07 15:13:50"
79;79;"0.7.0";"An Angular library of masks applicable to several Brazilian data.";"https://github.com/the-darc/angular-br-filters.git";;"2019-02-07 15:13:51";"2019-02-07 15:13:51"
80;80;"0.5.0";"AngularJS module that generates a breadcrumb from ui-router's states";"git://github.com/ncuillery/angular-breadcrumb.git";"http://ncuillery.github.io/angular-breadcrumb";"2019-02-07 15:13:51";"2019-02-07 15:13:51"
81;81;"4.1.4";"Show busy/loading indicators on any $http or $resource request, or on any promise";"git://github.com/cgross/angular-busy.git";;"2019-02-07 15:13:52";"2019-02-07 15:13:52"
82;82;"4.6.0";"angular-cache is a very useful replacement for Angular's $cacheFactory.";"git://github.com/jmdobry/angular-cache.git";"http://jmdobry.github.io/angular-cache";"2019-02-07 15:13:53";"2019-02-07 15:13:53"
83;83;"1.4.2";"An AngularJS module to interact with RESTful resources, even when browser is offline";"git://github.com/goodeggs/angular-cached-resource.git";;"2019-02-07 15:13:53";"2019-02-07 15:13:53"
84;84;"1.1.0";"Angular Carousel - Mobile friendly touch carousel for AngularJS";"git://github.com/revolunet/angular-carousel.git";"http://revolunet.github.com/angular-carousel";"2019-02-07 15:13:54";"2019-02-07 15:13:54"
85;85;"1.1.1";"An angular.js wrapper for Chart.js";"git://github.com/jtblin/angular-chart.js.git";;"2019-02-07 15:13:54";"2019-02-07 15:13:54"
86;86;"4.3.4";"Angular directive for Chartist.js";"https://github.com/paradox41/angular-chartist.js";;"2019-02-07 15:13:55";"2019-02-07 15:13:55"
87;87;"0.2.7";"angular directives for common charts using d3, for more information visit";"https://github.com/chinmaymk/angular-charts.git";"https://plnkr.co/edit/T9J7bz?p=preview";"2019-02-07 15:13:56";"2019-02-07 15:13:56"
88;88;"1.9.2";"Angular Chosen directive is an AngularJS Directive that brings the Chosen jQuery in a Angular way";"git://github.com/leocaseiro/angular-chosen";"http://github.com/leocaseiro/angular-chosen";"2019-02-07 15:13:56";"2019-02-07 15:13:56"
89;89;"1.0.3";"CKEditor directive for Angular.";"git://github.com/lemonde/angular-ckeditor.git";;"2019-02-07 15:13:57";"2019-02-07 15:13:57"
90;90;"1.6.2";"Copy to clipboard with AngularJS directive, without using Flash.";"https://github.com/omichelsen/angular-clipboard.git";;"2019-02-07 15:13:57";"2019-02-07 15:13:57"
91;91;"1.2.6";"Angular Confirm Modal";"https://github.com/Schlogen/angular-confirm.git";"http://schlogen.github.io/angular-confirm/";"2019-02-07 15:13:58";"2019-02-07 15:13:58"
92;92;"4.1.0";"angular module for accessing browser coockies";"https://github.com/ivpusic/angular-cookie";;"2019-02-07 15:13:58";"2019-02-07 15:13:58"
93;93;"1.4.0";"angularJS service to load dynamically CSS files";"https://github.com/GabrielDelepine/angular-css-injector";;"2019-02-07 15:13:59";"2019-02-07 15:13:59"
94;94;"1.0.8";"CSS on-demand for AngularJS";"git://github.com/castillo-io/angular-css";"http://door3.github.io/angular-css";"2019-02-07 15:13:59";"2019-02-07 15:13:59"
95;95;"0.7.1";"A feature-rich but lightweight ES6 AngularJS Data Table crafted for large data sets!";"git://github.com/Swimlane/angular-data-table.git";"http://swimlane.com/";"2019-02-07 15:14:00";"2019-02-07 15:14:00"
96;96;"1.5.3";"Angular wrapper for js-data.";"https://github.com/js-data/js-data-angular.git";"http://angular-data.pseudobry.com";"2019-02-07 15:14:00";"2019-02-07 15:14:00"
97;97;"2.1.0";"Angular module that provides a datatable directive along with datatable options helpers.";"https://github.com/l-lin/angular-datatables.git";"https://l-lin.github.io/angular-datatables";"2019-02-07 15:14:01";"2019-02-07 15:14:01"
98;98;"0.1.7";"AngularJS Debounce service and directive";"git://github.com/shahata/angular-debounce.git";;"2019-02-07 15:14:01";"2019-02-07 15:14:01"
99;99;"0.5.0";"A lightweight masonry-like grid for AngularJS.";"https://github.com/akoenig/angular-deckgrid";;"2019-02-07 15:14:02";"2019-02-07 15:14:02"
100;100;"5.3.0";"A service to handle common dialog types in a web application.  Built on top of Angular-Bootstrap's modal";"https://github.com/m-e-conroy/angular-dialog-service";;"2019-02-07 15:14:02";"2019-02-07 15:14:02"
101;101;"2.1.0";"Angular directives for sorting nested lists using the HTML5 Drag and Drop API";"https://github.com/marceljuenemann/angular-drag-and-drop-lists.git";;"2019-02-07 15:14:03";"2019-02-07 15:14:03"
102;102;"1.2.8";"Drag and drop so simple it hurts";"https://github.com/bevacqua/angular-dragula.git";;"2019-02-07 15:14:03";"2019-02-07 15:14:03"
103;103;"0.1.37";"A minimal module that adds the ability to dynamically change the locale";"git://github.com/lgalfaso/angular-dynamic-locale.git";;"2019-02-07 15:14:04";"2019-02-07 15:14:04"
104;104;"2.4.0";"A directive for AngularJS which automatically resizes the width of input field according to the content, while typing.";"git://github.com/jacek-pulit/angular-elastic-input.git";"https://jacek-pulit.github.io/angular-elastic-input/";"2019-02-07 15:14:05";"2019-02-07 15:14:05"
105;105;"2.5.1";"Elastic (autosize) textareas for AngularJS, without jQuery dependency.";"https://github.com/monospaced/angular-elastic";"http://monospaced.github.io/angular-elastic/";"2019-02-07 15:14:05";"2019-02-07 15:14:05"
106;106;"1.2.2";"Angular directive for ElevateZoom Plus.";"https://github.com/igorlino/angular-elevatezoom-plus.git";"https://igorlino.github.io/angular-elevatezoom-plus/";"2019-02-07 15:14:06";"2019-02-07 15:14:06"
107;107;"1.1.3";"An AngularJS service that implements the HTML5 W3C saveAs() in browsers that do not natively support it";"https://github.com/alferov/angular-file-saver.git";"https://alferov.github.io/angular-file-saver/";"2019-02-07 15:14:06";"2019-02-07 15:14:06"
108;108;"2.5.0";"Angular File Upload is a module for the AngularJS framework";"git://github.com/nervgh/angular-file-upload.git";;"2019-02-07 15:14:07";"2019-02-07 15:14:07"
